cohort_id,check_id,cohort_description,schema,table,date_field,concept_field,conceptset_name,filter_logic,time_between_events,vocabulary_field
condsckd,condsckd-drugshtn,ckd diagnosis,cdm,diagnosis,admit_date,dx,dx_ckd,,730.5,
drugshtn,condsckd-drugshtn,antihypertensive prescription,cdm,prescribing,rx_start_date,rxnorm_cui,rx_htn,,730.5,
condsasthma,condsasthma-drugsbroncho,asthma diagnosis,cdm,diagnosis,admit_date,dx,dx_asthma,,90,
drugsbroncho,condsasthma-drugsbroncho,bronchodilator (albuterol) prescription,cdm,prescribing,rx_start_date,rxnorm_cui,rx_albuterol,,90,
condsleukemia,condsleukemia-specoponco,leukemia diagnosis,cdm,diagnosis,admit_date,dx,dx_leukemia_lymphoma,,90,
specoponco,condsleukemia-specoponco,oncology specialty visit,result,oncology_specialties,admit_date,,,,90,
condsnephsyn,condsnephsyn-specopneph,nephrotic syndrome diagnosis,cdm,diagnosis,admit_date,dx,dx_nephrotic_syndrome,,730.5,
specopneph,condsnephsyn-specopneph,nephrology specialty visit,result,nephrology_specialties,admit_date,,,,730.5,
condsfrac,condsfrac-procsimg,fracture diagnosis,cdm,diagnosis,admit_date,dx,dx_fracture,,90,
procsimg,condsfrac-procsimg,imaging procedure,cdm,procedures,px_date,px,px_radiologic,,90,
condst1d,condst1d-drugsinsulin,t1d diagnosis ,cdm,diagnosis,admit_date,dx,T1D_SNOMED_codes,,90,
drugsinsulin,condst1d-drugsinsulin,insulin drug exposure,cdm,prescribing,rx_start_date,rxnorm_cui,insulin,,90,
labsfluneg,labsfluneg-condsflu,negative flu lab,cdm,lab_result_cm,result_date,lab_loinc,lab_influenza,"tolower(result_qual) %in% c('negative', 'not detected', 'no', 'none seen', 'nonreactive', 'none')",14,
condsflu,labsfluneg-condsflu,flu diagnosis,cdm,diagnosis,admit_date,dx,dx_influenza,,14,
labsflupos,labsflupos-condsflu,positive flu lab,cdm,lab_result_cm,result_date,lab_loinc,lab_influenza,"tolower(result_qual) %in% c('positive', 'presumptive positive', 'present', 'influenza a virus', 'influenza b virus', 'detected') ",14,
condsflu,labsflupos-condsflu,flu diagnosis,cdm,diagnosis,admit_date,dx,dx_influenza,,14,
labsrsvneg,labsrsvneg-condsrsv,negative rsv lab,cdm,lab_result_cm,result_date,lab_loinc,lab_rsv,"tolower(result_qual) %in% c('negative', 'not detected', 'no', 'none seen', 'nonreactive', 'none')",14,
condsrsv,labsrsvneg-condsrsv,rsv diagnosis,cdm,diagnosis,admit_date,dx,dx_rsv,,14,
labsrsvpos,labsrsvpos-condsrsv,positive rsv lab,cdm,lab_result_cm,result_date,lab_loinc,lab_rsv,"tolower(result_qual) %in% c('positive', 'presumptive positive', 'present', 'detected') ",14,
condsrsv,labsrsvpos-condsrsv,rsv diagnosis,cdm,diagnosis,admit_date,dx,dx_rsv,,14,
vised,vised-condsed,ED visits,cdm,encounter,admit_date,,,enc_type == 'ED',,
condsed,vised-condsed,ED condition headers,cdm,diagnosis,admit_date,,,enc_type == 'ED',,
visip,visip-condsip,IP visits,cdm,encounter,admit_date,,,enc_type == 'IP',,
condsip,visip-condsip,IP condition headers,cdm,diagnosis,admit_date,,,enc_type == 'IP',,
visop,visop-condsop,OP visits,cdm,encounter,admit_date,,,enc_type == 'AV',,
condsop,visop-condsop,OP condition headers,cdm,diagnosis,admit_date,,,enc_type == 'AV',,
visgp,visgp-condswcc-procswcc,General practice specialty visits,result,gp_specialties,admit_date,,,,,
condswcc-procswcc,visgp-condswcc-procswcc,Visits with well-child codes,result,wc_codes,admit_date,,,,,
