check_type,check_name,new_name,check_domain,check_application,full_description,check_type_short,check_category,hr_comments,ap_comments
Data Cycle changeds,dc_pd,dc_demog,Person,Demographics/Person,counts in the full person table in the previous and current data submissions,dc,Consistency,,
Data Cycle changeds,dc_dr,dc_drugsall,Drug Exposure,All Drugs,counts in the full drug_exposure table in the previous and current data submissions,dc,Consistency,,
Data Cycle changeds,dc_co,dc_condsall,Condition Occurrence,All Conditions,counts in the full condition_occurrence table in the previous and current data submissions,dc,Consistency,,
Data Cycle changeds,dc_adt,dc_adtall,ADT Occurrence,All ADT,counts in the full adt_occurrence table in the previous and current data submissions,dc,Consistency,,
Data Cycle changeds,dc_de,dc_deall,Device Exposure,All Devices,counts in the full device_exposure table in the previous and current data submissions,dc,Consistency,,
Data Cycle changeds,dc_im,dc_immsall,Immunization,All Immunization,counts in the full immunization table in the previous and current data submissions,dc,Consistency,,
Data Cycle changeds,dc_vi,dc_visall,Visit Occurrence,All Visits,counts in the full visit_occurrence table in the previous and current data submissions,dc,Consistency,,
Data Cycle changeds,dc_mv,dc_vitalsall,Measurement,Measurement Vitals,counts of vital values in the measurement table in the previous and current data submissions,dc,Consistency,,
Data Cycle changeds,dc_ml,dc_labsall,Measurement,Measurement Labs,counts of lab values in the measurement table in the previous and current data submissions,dc,Consistency,,
Data Cycle changeds,dc_cop,dc_condsop,Condition Occurrence,Outpatient Conditions: All,"counts of all outpatient conditions (condition_type_concept_id = 2000000095, 2000000096, 2000000097, 2000000101, 2000000102, or 2000000103) in the previous and current data submissions",dc,Consistency,,
Data Cycle changeds,dc_ci,dc_condsip,Condition Occurrence,Inpatient Conditions: All,"counts of all inpatient conditions (condition_type_concept_id = 2000000092, 2000000093, 2000000094, 2000000098, 2000000099, or 2000000100) in the previous and current data submissions",dc,Consistency,,
Data Cycle changeds,dc_ced,dc_condsed,Condition Occurrence,ED Conditions: All,"counts of all emergency department conditions (condition_type_concept_id = 2000001280, 2000001281, 2000001282, 2000001283, 2000001284, or 2000001285) in the previous and current data submissions",dc,Consistency,,
Data Cycle changeds,dc_cop_cc,dc_condsop-condsbill,Condition Occurrence,Outpatient Conditions: Billing,"counts of billed outpatient conditions (condition_type_concept_id = 2000000096, 2000000097, 2000000102, or 2000000103) in the previous and current data submissions",dc,Consistency,,
Data Cycle changeds,dc_cop_cb,dc_condsop-condsorder,Condition Occurrence,Outpatient Conditions: Order,counts of ordered outpatient conditions (condition_type_concept_id = 2000000095 or 2000000101) in the previous and current data submissions,dc,Consistency,,
Data Cycle changeds,dc_ci_cc,dc_condsip-condsorder,Condition Occurrence,Inpatient Conditions: Order,counts of ordered inpatient conditions (condition_type_concept_id = 2000000092 or 2000000098) in the previous and current data submissions,dc,Consistency,,
Data Cycle changeds,dc_ci_cb,dc_condsip-condsbill,Condition Occurrence,Inpatient Conditions: Billing,"counts of billed inpatient conditions (condition_type_concept_id = 2000000099, 2000000100, 2000000093, or 2000000094) in the previous and current data submissions",dc,Consistency,,
Data Cycle changeds,dc_adt_picu,dc_adtpicu,ADT Occurrence,PICU,counts of PICU (service_concept_id = 2000000078) in the previous and current data submissions,dc,Consistency,,
Data Cycle changeds,dc_adt_nicu,dc_adtnicu,ADT Occurrence,NICU,counts of NICU (service_concept_id = 2000000080) in the previous and current data submissions,dc,Consistency,,
Data Cycle changeds,dc_adt_cicu,dc_adtcicu,ADT Occurrence,CICU,counts of CICU (service_concept_id = 2000000079) in the previous and current data submissions,dc,Consistency,,
Data Cycle changeds,dc_vo_office,dc_visofc,Visit Occurrence,Outpatient Office Visits,counts of outpatient office visits (visit_concept_id = 9202) in the previous and current data submissions,dc,Consistency,,
Data Cycle changeds,dc_vo_labs,dc_vislabs,Visit Occurrence,Outpatient Visits with Labs,counts of outpatient lab visits (visit_concept_id = 2000000469) in the previous and current data submissions,dc,Consistency,,added vislabs to check_components
Data Cycle changeds,dc_vo_th,dc_vistele,Visit Occurrence,Outpatient Telehealth Visits,counts of outpatient telehealth visits (visit_concept_id = 581399) in the previous and current data submissions,dc,Consistency,,
Data Cycle changeds,dc_vo_oa,dc_visoa,Visit Occurrence,Other Ambulatory Outpatient Visits,counts of outpatient other ambulatory visits (visit_concept_id = 44814711) in the previous and current data submissions,dc,Consistency,,
Data Cycle changeds,dc_vip,dc_visip,Visit Occurrence,Inpatient Visits,counts of inpatient visits (visit_concept_id = 9201) in the previous and current data submissions,dc,Consistency,,
