check_id,check_description,cohort_definition,cohort_schema,cohort_table,schema,table,concept_field,conceptset_name,filter_logic,vocabulary_field
labshgb,Hemoglobin,"Patients with evidence of a procedure, drug, AND lab",result,pdl_pts,cdm,lab_result_cm,lab_loinc,ecp_hemoglobin,,
labsplt,Platelet,"Patients with evidence of a procedure, drug, AND lab",result,pdl_pts,cdm,lab_result_cm,lab_loinc,ecp_platelets,,
labsanc,Absolute Neutrophil Count (ANC),"Patients with evidence of a procedure, drug, AND lab",result,pdl_pts,cdm,lab_result_cm,lab_loinc,ecp_anc,,
labscreat,Serum Creatinine,"Patients with evidence of a procedure, drug, AND lab",result,pdl_pts,cdm,lab_result_cm,lab_loinc,ecp_creatinine_serum,,
labssodium,Sodium,"Patients with evidence of a procedure, drug, AND lab",result,pdl_pts,cdm,lab_result_cm,lab_loinc,ecp_sodium,,
labsalt,Alanine Transaminase (ALT),"Patients with evidence of a procedure, drug, AND lab",result,pdl_pts,cdm,lab_result_cm,lab_loinc,ecp_alanine_transaminase,,
labsupqual,Urine Protein (Qualitative),"Patients with evidence of a procedure, drug, AND lab",result,pdl_pts,cdm,lab_result_cm,lab_loinc,ecp_urine_protein_qual,,
labsstreprapid,Rapid Strep,"Patients with evidence of a procedure, drug, AND lab",result,pdl_pts,cdm,lab_result_cm,lab_loinc,ecp_rapid_strep,,
labsflu,Influenza,"Patients with evidence of a procedure, drug, AND lab",result,pdl_pts,cdm,lab_result_cm,lab_loinc,ecp_influenza,,
labsrsv,Respiratory Syncytial Virus (RSV),"Patients with evidence of a procedure, drug, AND lab",result,pdl_pts,cdm,lab_result_cm,lab_loinc,ecp_rsv,,
headcirc,Head Circumference,"Patients with evidence of a procedure, drug, AND lab",result,pdl_pts,cdm,obs_clin,obsclin_code,ecp_head_circumference,,
state,State,"Patients with a valid sex, valid DOB, and at least one face to face visit associated with a diagnosis",result,geocode_cohort,result,fips_state,geocode_year,ecp_2020_geocode,ndigit_fips == 2,
county,County,"Patients with a valid sex, valid DOB, and at least one face to face visit associated with a diagnosis",result,geocode_cohort,result,fips_county,geocode_year,ecp_2020_geocode,ndigit_fips == 7,
lohis-twoplus-state,2+ Address History Records w/ State,"Patients with a valid sex, valid DOB, and at least one face to face visit associated with a diagnosis",result,geocode_cohort,result,lohis_state,geocode_year,ecp_2020_geocode,ngeo_lohis > 1,
lohis-twoplus-county,2+ Address History Records w/ County,"Patients with a valid sex, valid DOB, and at least one face to face visit associated with a diagnosis",result,geocode_cohort,result,lohis_county,geocode_year,ecp_2020_geocode,ngeo_lohis > 1,
