check_id,check_description,schema,table,filter_logic
procsall,Procedures,cdm,procedures,
condsall,Conditions,cdm,diagnosis,
drugsrx,Prescribed Drugs,cdm,prescribing,
drugsadmin,Inpatient Administrations,cdm,med_admin,
procsall-drugsall,Procedures or Drugs,result,procs_drugs,
labsall,Lab Tests,cdm,lab_result_cm,
procsall-drugsall-labsall,"Procedures, Drugs, or Lab Tests",result,procs_drugs_labs,
payers,Payers,cdm,encounter,!is.na(payer_type_primary)
immsall,Immunizations,cdm,immunization,
obsall,Clinical Observations,cdm,obs_clin,
