concept_id,concept_code,concept_name,vocabulary_id,form_type
36659780,94182-3,PROMIS parent proxy physical function - upper extremity - version 1.0 T-score,LOINC,parent_proxy
36659754,94170-8,PROMIS parent proxy physical function - upper extremity - version 1.0 raw score,LOINC,parent_proxy
36660408,94171-6,My child could pour a drink from a full pitcher in past 7D [PROMIS.PARENTPROXY],LOINC,parent_proxy
36660363,94172-4,My child could open a jar by himself or herself in past 7D [PROMIS.PARENTPROXY],LOINC,parent_proxy
36660368,94173-2,My child could pull open heavy doors in past 7D [PROMIS.PARENTPROXY],LOINC,parent_proxy
36659977,94174-0,My child could use a key to unlock a door in past 7D [PROMIS.PARENTPROXY],LOINC,parent_proxy
36660723,94175-7,My child could pull a shirt on over his or her head without help in past 7D [PROMIS.PARENTPROXY],LOINC,parent_proxy
36660642,94176-5,My child could open the rings in school binders in past 7D [PROMIS.PARENTPROXY],LOINC,parent_proxy
36660372,94177-3,My child could button his or her shirt or pants in past 7D [PROMIS.PARENTPROXY],LOINC,parent_proxy
36660592,94178-1,My child could put on his or her shoes without help in past 7D [PROMIS.PARENTPROXY],LOINC,parent_proxy
40764934,62173-0,I could open a jar by myself in past 7 days [PROMIS],LOINC,self_report
40764933,62172-2,I could button my shirt or pants in past 7 days [PROMIS],LOINC,self_report
40764935,62174-8,I could open the rings in school binders in past 7 days [PROMIS],LOINC,self_report
40764936,62175-5,I could pour a drink from a full pitcher in past 7 days [PROMIS],LOINC,self_report
40764937,62176-3,I could pull a shirt on over my head by myself in past 7 days [PROMIS],LOINC,self_report
40764938,62177-1,I could pull open heavy doors in past 7 days [PROMIS],LOINC,self_report
40764939,62178-9,I could put on my shoes by myself in past 7 days [PROMIS],LOINC,self_report
40764940,62179-7,I could use a key to unlock a door in past 7 days [PROMIS],LOINC,self_report
46236703,77843-1,PROMIS pediatric short form - physical function - upper extremity 8a - version 1.0 raw score,LOINC,self_report
46236771,77867-0,PROMIS pediatric physical function - upper extremity - version 1.0 Tscore,LOINC,self_report
40764349,61588-0,"Does your health now limit you in doing vigorous activities, such as running, lifting heavy objects, participating in strenuous sports [PROMIS]",LOINC,self_report
40764350,61589-8,"Does your health now limit you in bending, kneeling, or stooping [PROMIS]",LOINC,self_report
40764352,61591-4,Does your health now limit you in lifting or carrying groceries [PROMIS],LOINC,self_report
40764358,61597-1,Are you able to do chores such as vacuuming or yard work [PROMIS],LOINC,self_report
40764363,61602-9,"Are you able to dress yourself, including tying shoelaces and doing buttons [PROMIS]",LOINC,self_report
40764398,61637-5,Are you able to wash and dry your body [PROMIS],LOINC,self_report
40764422,61661-5,Are you able to shampoo your hair [PROMIS],LOINC,self_report
40764458,61697-9,Does your health now limit you in walking more than a mile [PROMIS],LOINC,self_report
40764459,61698-7,Does your health now limit you in climbing one flight of stairs [PROMIS],LOINC,self_report
40764465,61704-3,Are you able to get on and off the toilet [PROMIS],LOINC,self_report
46236687,77827-4,PROMIS short form - physical function 10a - version 1.0 raw score,LOINC,self_report
46236770,77866-2,PROMIS physical function - version 1.0 Tscore,LOINC,self_report
21491788,78064-3,Does your health now limit you in walking more than a mile (1.6 km) [PROMIS],LOINC,self_report
37020016,91721-1,PROMIS physical function - version 2.0 T-score,LOINC,self_report
21491772,78048-6,"Are you able to dress yourself, including tying shoelaces and buttoning your clothes [PROMIS]",LOINC,self_report
21491790,78066-8,Are you able to sit on and get up from the toilet [PROMIS],LOINC,self_report
37021518,92608-9,PROMIS short form - physical function 10a - version 2.0 raw score,LOINC,self_report
21491778,78054-4,Are you able to lift 10 pounds (5 kg) above your shoulder [PROMIS],LOINC,self_report
40764353,61592-2,Does your health now limit you in bathing or dressing yourself [PROMIS],LOINC,self_report
40764356,61595-5,Are you able to bend down and pick up clothing from the floor [PROMIS],LOINC,self_report
40764368,61607-8,Are you able to go up and down stairs at a normal pace [PROMIS],LOINC,self_report
40764396,61635-9,Are you able to run errands and shop [PROMIS],LOINC,self_report
40764399,61638-3,Are you able to get in and out of a car [PROMIS],LOINC,self_report
40764401,61640-9,Does your health now limit you in putting a trash bag outside [PROMIS],LOINC,self_report
40764438,61677-1,"Does your health now limit you in doing moderate activities, such as moving a table, pushing a vacuum cleaner, bowling, or playing golf [PROMIS]",LOINC,self_report
37020094,92607-1,PROMIS short form - physical function 10b - version 2.0 raw score,LOINC,self_report
40764359,61598-9,Are you able to push open a heavy door [PROMIS],LOINC,self_report
40764378,61617-7,Are you able to wash your back [PROMIS],LOINC,self_report
40764382,61621-9,Are you able to dry your back with a towel [PROMIS],LOINC,self_report
40764394,61633-4,Are you able to sit on the edge of a bed [PROMIS],LOINC,self_report
40764415,61654-0,Are you able to squeeze a new tube of toothpaste [PROMIS],LOINC,self_report
40764418,61657-3,Are you able to hold a plate full of food [PROMIS],LOINC,self_report
40764420,61659-9,"Are you able to run a short distance, such as to catch a bus [PROMIS]",LOINC,self_report
40764449,61688-8,Does your health now limit you in doing two hours of physical labor [PROMIS],LOINC,self_report
40764466,61705-0,Are you able to transfer from a bed to a chair and back [PROMIS],LOINC,self_report
46236678,77817-5,PROMIS short form - physical function 20a - version 1.0 raw score,LOINC,self_report
40764370,61609-4,Are you able to go for a walk of at least 15 minutes [PROMIS],LOINC,self_report
46236680,77819-1,PROMIS short form - physical function 4a - version 1.0 raw score,LOINC,self_report
40764400,61639-1,"Does your health now limit you in doing moderate work around the house like vacuuming, sweeping floors or carrying in groceries [PROMIS]",LOINC,self_report
46236592,77797-9,PROMIS short form - physical function 6b - version 1.2 raw score,LOINC,self_report
40764351,61590-6,"Does your health now limit you in doing heavy work around the house like scrubbing floors, or lifting or moving heavy furniture [PROMIS]",LOINC,self_report
46236591,77796-1,PROMIS short form - physical function 8b - version 1.2 raw score,LOINC,self_report
46235944,77580-9,PROMIS physical function w mobility aids - version 1.0 T-score,LOINC,self_report
21492093,79064-2,PROMIS short form - physical function w mobility aids - version 1.0 raw score,LOINC,self_report
40764894,62133-4,I could get up from the floor in past 7 days [PROMIS],LOINC,self_report
40764896,62135-9,I could stand up on my tiptoes in past 7 days [PROMIS],LOINC,self_report
40764882,62121-9,I could do sports and exercise that other kids my age could do in past 7 days [PROMIS],LOINC,self_report
40764883,62122-7,I could keep up when I played with other kids in past 7 days [PROMIS],LOINC,self_report
40764886,62125-0,I could stand up by myself in past 7 days [PROMIS],LOINC,self_report
40764888,62127-6,I could walk up stairs without holding on to anything in past 7 days [PROMIS],LOINC,self_report
40764892,62131-8,I could move my legs in past 7 days [PROMIS],LOINC,self_report
40764898,62137-5,I have been physically able to do the activities I enjoy most in past 7 days [PROMIS],LOINC,self_report
46235943,77579-1,PROMIS pediatric physical function: mobility - version 1.0 T-score,LOINC,self_report
46236704,77844-9,PROMIS pediatric short form - physical function - mobility 8a - version 1.0 raw score,LOINC,self_report
