check_name,concept,best_notbest,default_to
csop,NI,0,best
csop,UN,0,best
csop,OT,0,best
eth,UN,0,best
eth,NI,0,best
eth,R,0,best
eth,,0,best
provop,193200000X,0,best
provop,193400000X,0,best
provop,171W00000X,0,best
provop,208000000X,0,best
provop,174400000X,0,best
provop,NI,0,best
provop,OT,0,best
provop,UN,0,best
provop,363L00000X,0,best
provop,164W00000X,0,best
provop,363A00000X,0,best
race,UN,0,best
race,NI,0,best
race,R,0,best
race,,0,best
drugsip-rxnorm,Quant Branded Drug,1,notbest
drugsip-rxnorm,Branded Drug,1,notbest
drugsip-rxnorm,Branded Pack,1,notbest
drugsip-rxnorm,Clinical Drug,1,notbest
drugsip-rxnorm,Clinical Pack,1,notbest
drugsip-rxnorm,Quant Clinical Drug,1,notbest
drugspresc-rxnorm,Clinical Pack,1,notbest
drugspresc-rxnorm,Branded Drug,1,notbest
drugspresc-rxnorm,Clinical Drug,1,notbest
drugspresc-rxnorm,Quant Clinical Drug,1,notbest
drugspresc-rxnorm,Branded Pack,1,notbest
drugspresc-rxnorm,Quant Branded Drug,1,notbest
tract,11,1,notbest
blgr,12,1,notbest
gestage,20-45 Weeks (Expected Range),1,notbest
