concept_id,concept_code,concept_name,vocabulary_id
45882528,LA10082-8,Sometimes,LOINC
45885256,LA13914-9,Very much,LOINC
45883172,LA6568-5,Not at all,LOINC
45876387,LA8968-5,Fair,LOINC
45878558,LA9615-1,Very poor,LOINC
45884456,LA13902-4,Quite a bit,LOINC
45876662,LA6270-8,Never,LOINC
45879176,LA13865-3,Almost always,LOINC
45876385,LA13909-9,Somewhat,LOINC
45884457,LA13913-1,Very Good,LOINC
45884455,LA10044-8,Often,LOINC
45876672,LA10066-1,Rarely,LOINC
45876386,LA8967-7,Good,LOINC
45881667,LA13863-8,A little bit,LOINC
45881665,LA13866-1,Almost never,LOINC
45876751,LA8969-3,Poor,LOINC
45882536,LA9933-8,Always,LOINC
