concept_id,concept_code,concept_name,vocabulary_id,instrument,answers,concept_group
46235507,76501-6,"Within the last year, have you been afraid of your partner or ex-partner",LOINC,"Humiliation, Afraid, Rape, and Kick questionnaire [HARK]","Yes, No; Patient unable to answer; Patient refused / declined",Intimate Partner Violence
46235508,76502-4,"Within the last year, have you been raped or forced to have any kind of sexual activity by your partner or ex-partner",LOINC,"Humiliation, Afraid, Rape, and Kick questionnaire [HARK]","Yes, No; Patient unable to answer; Patient refused / declined",Intimate Partner Violence
46234807,76503-2,"Within the last year, have you been kicked, hit, slapped, or otherwise physically hurt by your partner or ex-partner",LOINC,"Humiliation, Afraid, Rape, and Kick questionnaire [HARK]","Yes, No; Patient unable to answer; Patient refused / declined",Intimate Partner Violence
21492245,76542-0,"Do you feel stress - tense, restless, nervous, or anxious, or unable to sleep at night because your mind is troubled all the time - these days [OSQ]",LOINC,OSQ,"Not at all, Only a little, To some extent, Rather much, Very much, Patient unable to answer, Patient refused / declined",Stress
36304041,88122-7,Within the past 12 months we worried whether our food would run out before we got money to buy more [U.S. FSS],LOINC,U.S. Food Security Survey,"Never true, Sometimes true, Often true, Patient unable to answer, Patient refused / declined",Food Insecurity
36306143,88123-5,Within the past 12 months the food we bought just didn't last and we didn't have money to get more [U.S. FSS],LOINC,U.S. Food Security Survey,"Never true, Sometimes true, Often true, Patient unable to answer, Patient refused / declined",Food Insecurity
36305244,89204-2,Patient Health Questionnaire-9: Modified for Teens total score [Reported.PHQ.Teen],LOINC,PHQ-9 for teens,NA,Depression
36305482,89555-7,How many days per week did you engage in moderate to strenuous physical activity in the last 30 days,LOINC,AHC HRSN Physical Activity,"0, 1, 2, 3, 4, 5, 6, 7, Patient unable to answer, Patient declined",Physical Activity
36305482,89555-7,How many days per week did you engage in moderate to strenuous physical activity in the last 30 days,LOINC,Exercise Vital Sign,"0 days, 1 day, 2 days, 3 days, 4 days, 5 days, 6 days, 7 days, Patient unable to answer, Patient refused / declined",Physical Activity
1617013,96778-6,Problems with place where you live,LOINC,AHC HRSN Living Situation,"Pests, such as bugs, ants or mice; Mold; Lead paint or pipes; Lack of heat; Oven or stove not working; Smolke detectors missing or not working; Water leaks; None of the above; Patient unable to answer; Patient declined;",Housing Stability
1617701,96779-4,"Has the electric, gas, oil, or water company threatened to shut off services in your home in past 12 months",LOINC,AHC HRSN Utilities,"Yes, No, Already Shut Off, Patient unable to answer, Patient declined",Utilities
1989298,98977-2,Number of residential moves in past 12 months,LOINC,Children's Health Watch Housing Stability Vital Signs,NA,Housing Stability
1989298,98977-2,Number of residential moves in past 12 months,LOINC,Children's Health Watch Housing Stability Vital Signs,NA,Housing Stability
1988631,98978-0,Homeless in past 12 months,LOINC,Children's Health Watch Housing Stability Vital Signs,"Yes, No, Patient unable to answer, Patient declined",Housing Stability
1988631,98978-0,Homeless in past 12 months,LOINC,Children's Health Watch Housing Stability Vital Signs,"Yes, No, Patient unable to answer, Patient declined",Housing Stability
