concept_id,concept_code,concept_name,vocabulary_id,form_name
40764338,61577-3,"In general, would you say your health is",LOINC,self_report
40764339,61578-1,"In general, would you say your quality of life is [PROMIS]",LOINC,self_report
40764340,61579-9,"In general, how would you rate your physical health [PROMIS]",LOINC,self_report
40764341,61580-7,"In general, how would you rate your mental health, including your mood and your ability to think [PROMIS]",LOINC,self_report
40764342,61581-5,"In general, how would you rate your satisfaction with you social activities and relationships [PROMIS]",LOINC,self_report
40764343,61582-3,"To what extent are you able to carry out your everyday physical activities such as walking, climbing stairs, carrying groceries, or moving a chair [PROMIS]",LOINC,self_report
40764344,61583-1,How would you rate your pain on average in past 7 days [PROMIS],LOINC,self_report
40764345,61584-9,How would you rate your fatigue on average in past 7 days [PROMIS],LOINC,self_report
40764346,61585-6,"In general, please rate how well you carry out your usual social activities and roles [PROMIS]",LOINC,self_report
40764347,61586-4,"How often have you been bothered by emotional problems such as feeling anxious, depressed or irritable in past 7 days [PROMIS]",LOINC,self_report
42869724,71969-0,PROMIS-10 Global Mental Health (GMH) score T-score,LOINC,self_report
42869725,71970-8,PROMIS-10 Global Mental Health (GMH) score,LOINC,self_report
42869726,71971-6,PROMIS-10 Global Physical Health (GPH) score T-score,LOINC,self_report
42869727,71972-4,PROMIS-10 Global Physical Health (GPH) score,LOINC,self_report
46236698,77838-1,PROMIS short form - global - version 1.1 raw score,LOINC,self_report
36203367,85523-9,PROMIS short form - global - version 1.2 raw score,LOINC,self_report
